Key,CenterX,CenterY,Radius,Shape
1,1338,164,111,0
2,1446,432,109,0
3,1041,127,118,1
4,1399,106,221,0
5,983,342,98,2
6,1328,239,116,2
7,934,431,129,0
8,1087,143,103,2
9,852,261,140,0
10,939,316,107,2
11,1202,196,220,0
12,886,54,105,2
13,1035,26,102,2
14,949,43,106,2
15,1527,186,98,0
16,1066,256,99,2
17,1441,283,119,2
18,917,299,118,0
19,1518,173,146,0
20,817,123,96,2
21,1025,365,111,2
22,1108,323,226,0
23,1557,258,120,0
24,997,144,106,1
25,1384,288,94,2
26,1563,32,103,2
27,1599,418,119,2
28,1304,355,101,0
29,1390,284,144,0
30,1572,349,100,2
31,1523,326,111,2
32,857,195,115,0
33,871,418,91,0
34,1329,155,120,2
35,829,293,100,2
36,1020,77,97,1
37,885,398,116,0
38,1426,38,148,0
39,1551,267,103,0
40,1518,365,101,2
41,942,207,147,0
42,1016,334,99,2
