Key,CenterX,CenterY,Radius,Shape
1,1411,703,106,2
2,907,630,90,2
3,1215,622,114,2
4,1256,587,102,2
5,938,666,94,2
6,1537,627,153,0
7,1266,614,92,0
8,1421,533,111,0
9,1166,681,209,0
10,1000,560,199,0
11,1172,732,113,0
12,1052,815,90,2
13,1372,716,179,0
14,1306,839,105,2
15,1046,636,100,1
16,901,695,195,0
17,1166,826,104,1
18,1574,896,91,1
19,992,875,109,2
20,1012,881,103,2
21,1452,638,90,1
22,1074,704,221,0
23,1241,678,247,0
24,963,786,108,0
25,1533,771,192,0
26,809,764,157,0
27,910,551,94,1
28,1094,464,90,2
29,1367,663,190,0
30,1088,749,98,1
31,966,835,100,2
32,1241,777,111,2
33,1153,661,282,0
34,942,550,107,2
35,1128,733,110,2
36,1110,685,109,2
37,890,452,118,2
