Key,CenterX,CenterY,Radius,Shape
1,133,10,104,2
2,137,432,100,0
3,390,231,93,1
4,705,165,117,0
5,495,427,93,2
6,40,170,151,0
7,332,211,119,2
8,740,23,113,1
9,121,153,92,2
10,737,152,94,2
11,230,440,95,2
12,30,181,107,2
13,526,193,217,0
14,1,203,95,2
15,87,123,104,0
16,477,76,90,1
17,380,353,103,2
18,26,11,90,1
19,209,397,97,0
20,194,3,109,2
21,35,230,114,2
22,574,122,197,0
23,143,169,98,0
24,173,389,120,0
25,6,341,95,0
26,713,308,160,0
27,193,325,100,1
28,330,213,119,2
29,656,184,138,0
30,94,107,110,2
31,167,372,149,0
32,575,444,108,2
33,183,4,94,2
34,160,294,90,2
35,141,66,159,0
36,498,56,165,0
37,190,212,117,0
38,37,178,111,2
39,188,349,93,2
40,349,433,113,0
41,233,156,134,0
42,224,320,94,0
43,369,153,115,2
44,93,301,92,1
45,531,330,109,2
46,754,198,148,0
47,202,387,94,2
48,294,204,116,2
49,567,32,104,2
50,224,133,98,1
51,195,328,91,2
52,411,389,100,2
53,640,253,113,2
54,214,396,91,2
55,525,236,120,2
