Key,CenterX,CenterY,Radius,Shape
1,1303,857,91,0
2,1076,864,139,0
3,1091,634,111,2
4,1418,785,106,1
5,1146,58,105,2
6,1389,526,92,1
7,1235,694,91,0
8,1467,333,92,0
9,1415,187,96,1
10,1432,698,105,2
11,1113,77,172,0
12,1103,841,113,0
13,1176,542,110,2
14,1528,536,104,0
15,1302,476,114,1
16,1520,429,106,0
17,1582,583,108,0
18,1568,803,106,2
19,1147,244,90,0
20,1392,887,109,0
21,1433,598,115,2
22,1097,94,112,1
23,1320,505,92,0
24,1343,637,91,0
25,1187,457,118,0
26,1219,303,111,1
27,1505,20,94,1
28,1145,665,90,2
29,1314,660,97,1
30,1477,440,155,0
31,1521,802,183,0
32,1228,22,90,1
33,1513,99,139,0
34,1086,456,156,0
35,1201,719,211,0
36,1361,799,101,2
37,1114,103,109,2
38,1120,627,151,0
39,1453,749,99,2
40,1160,513,135,0
41,1208,78,105,2
42,1493,260,148,0
43,1117,625,136,0
