Key,CenterX,CenterY,Radius,Shape
1,245,246,108,2
2,1476,208,99,1
3,1325,228,116,2
4,14,30,158,0
5,843,123,106,1
6,645,30,101,2
7,182,246,110,0
8,510,162,91,0
9,1575,110,114,1
10,1425,141,96,0
11,1275,82,111,0
12,692,17,115,0
13,1071,133,108,2
14,1448,125,221,0
15,1085,126,115,2
16,5,233,118,1
17,416,125,100,2
18,128,205,142,0
19,356,168,97,2
20,511,179,104,0
21,620,120,105,2
22,1105,262,97,0
23,1355,144,111,1
24,877,254,113,0
25,1045,153,115,0
26,957,272,110,0
27,1467,12,102,2
28,464,288,96,1
29,649,64,100,0
30,328,105,112,0
31,895,105,152,0
32,510,169,182,0
33,229,289,92,2
34,556,22,120,1
35,748,164,109,1
36,1355,184,103,0
37,922,118,113,2
38,1518,220,92,2
39,214,50,94,1
40,454,217,115,1
41,702,27,99,0
42,757,216,116,0
43,68,68,142,0
44,1034,53,100,0
45,195,143,107,0
46,1404,118,147,0
