Key,CenterX,CenterY,Radius,Shape
1,517,625,98,2
2,465,703,99,2
3,214,880,110,2
4,420,112,200,0
5,150,485,106,1
6,365,391,92,2
7,271,791,116,2
8,46,666,116,2
9,419,494,91,2
10,180,844,107,2
11,45,0,91,0
12,6,259,111,2
13,62,896,95,1
14,356,855,107,1
15,497,319,177,0
16,191,274,183,0
17,246,103,120,1
18,10,93,119,1
19,378,126,109,2
20,166,659,205,0
21,268,509,103,2
22,245,291,100,0
23,226,701,101,2
24,333,494,90,0
25,184,163,105,1
26,44,827,111,2
27,42,202,153,0
28,427,633,109,2
29,244,528,310,0
30,227,248,107,2
31,253,426,96,1
32,290,651,97,2
33,88,598,102,2
34,275,477,101,0
35,171,625,103,0
36,125,518,115,2
37,398,75,177,0
