token,Scene Name,Image Filename,Steering Angle
ca9a282c9e77460f8360f564131a8af5,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg,0.0471238898038437
39586f9d59004284a7114a68825e8eec,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg,0.0523598775598298
356d81f38dd9473ba590f39e266f54e5,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg,0.0610865238198015
e0845f5322254dafadbbed75aaa07969,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402929162460.jpg,0.0628318530717942
c923fe08b2ff4e27975d2bf30934383b,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402929662460.jpg,0.0628318530717942
f1e3d9d08f044c439ce86a2d6fcca57b,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402930112460.jpg,0.0628318530717942
4f545737bf3347fbbc9af60b0be9a963,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402930612460.jpg,0.0628318530717942
7626dde27d604ac28a0240bdd54eba7a,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402931162460.jpg,0.0715584993317659
be99ffc878b24aca8956bbb4e0f97d0c,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402931662460.jpg,0.0802851455917375
9813c23a5f1448b09bb7910fea9baf20,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402932162460.jpg,0.1134464013796314
023c4df2d451409881d8e6ea82f14704,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402932612460.jpg,0.2146754979953057
c235638ed66145988d17f9d0601923f2,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402933112460.jpg,0.4049163864626813
bc3c8a953f6b4dcdb77b521d89f3d9d5,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402933612460.jpg,0.5951572749300648
1e3d79dae62742a0ad64c91679863358,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402934112460.jpg,0.7784168463894694
0cd661df01aa40c3bb3a773ba86f753a,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402941762460.jpg,0.8011061266653988
378a3a3e9af346308ab9dff8ced46d9c,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402942162460.jpg,0.3525565089028514
eef55c3b48f34d949959b45130ee293a,scene-0061,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402942662460.jpg,0.1448623279155325
