token,Scene Name,Image Filename,Steering Angle
8b6d496ed9d84469b75836ca1c56959f,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657116112404.jpg,-1.1151934165124058
a9def8f915cf4bfe9c74b864384ec6c7,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657116612404.jpg,-1.1989692206081368
3d22d2c87c5b483a914c7e8125326013,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657117112404.jpg,-1.2391117934040017
286532245ff646a9915070c8b402e487,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657117612404.jpg,-1.2408571226560023
73e2b7fb98ef41aface277a968d65941,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657118112404.jpg,-1.2408571226560023
c537fef0b4b241df92f44daa976fe5b3,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657118612404.jpg,-1.2391117934040017
d68668cb98fe4be5a00f58b5ac8a0a7d,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657119112404.jpg,-1.235621134900016
00889f8a9549450aa2f32cf310a3e305,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657119612404.jpg,-1.2321304763960306
dd8d85a47000418e849e4cb2f2a3f45f,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657120112404.jpg,-1.23038514714403
c15f8261acfd4013a735798770fad71a,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657120612404.jpg,-1.23038514714403
0373e9d8886648779c8a73304919ab5f,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657121112404.jpg,-1.2286398178920372
a5addc41b07842768a2183abdd01cff8,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657121612404.jpg,-1.2268944886400446
46292fc546f048f29520299220f22798,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657122112404.jpg,-1.2268944886400446
9ecb1b79dbe140ca860efc4adebe854b,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657122612404.jpg,-1.2268944886400446
bad8a002637046178fe0f8216e5bc355,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657123112404.jpg,-1.223403830136059
4d8ff5b287bb4e1ba6d0a0f79fc74457,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657123612404.jpg,-1.2216585008840584
af8c2d8187aa463eab3cccbd6abc1573,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657124112404.jpg,-1.2181678423800728
73ccc9c10a3547849b8ff130d50bac98,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657124612404.jpg,-1.2146771838760873
e3bcde4a06124931a097ef2a211aaaef,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657125112404.jpg,-1.211186525372094
9e6ce5a26025462fbd9bdac2d18c07eb,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657125612404.jpg,-1.2094411961201013
1b90013f0287408f9371729424c93892,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657126112404.jpg,-1.2059505376161157
ca0a3858c31e4281866e2b2a7f7c0db0,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657126612404.jpg,-1.204205208364115
2c3e2cfc699f4ca78cc77dc3161d1763,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657127112404.jpg,-1.2024598791121224
f3e7e088082d4aabb9a3bf504d4ac904,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657127612404.jpg,-1.2007145498601297
8fe9664cec514a58b1184c4fcefda6b5,scene-0757,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657128112404.jpg,-1.2007145498601297
b5989651183643369174912bc5641d3b,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984233512470.jpg,-3.3649947978450627
0bb62a68055249e381b039bf54b0ccf8,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984234012472.jpg,-3.3649947978450627
07fad91090c746ccaa1b2bdb55329e20,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984234512460.jpg,-3.351032163829113
ae5004bf4ebb4db0a84cb3c27bd398d1,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984234912460.jpg,-3.1084313978019
ac8b4d49731d43289579f014cb7c97ef,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984235412460.jpg,-2.6371924997634304
c1eed31234b94e9f8e22fbf3428b0ac2,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984235912460.jpg,-2.061233846605301
edba7d0cf1c64d2a9c8a5ebddab507a9,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984236412460.jpg,-1.2548917321839166
858a1ece22cf45d9bc71e42336604b78,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984238912460.jpg,-1.0681415022205265
372725a4b00e49c78d6d0b1c4a38b6e0,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984239412460.jpg,-1.528908424747031
61a7bd24f88a46c2963280d8b13ac675,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984239912460.jpg,-2.399827721492203
609d5177362340458a3bfd4949cd1e64,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984240412460.jpg,-3.31088959103324
b1303058fa624645b753d7283d70de45,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984240912467.jpg,-3.755948550291794
a19a80c905674faab7203a3a4e0f5246,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984241412460.jpg,-4.201007509550348
b6c420c3a5bd4a219b1cb82ee5ea0aa7,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984241912460.jpg,-4.759512870188534
8092909473464f80b9f791a4d31ddcb8,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984242412460.jpg,-4.241150082346221
e174cb43655f49dab7ffa27b973670e3,scene-0916,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984242912460.jpg,-2.954842423626395
a480496a5988410fbe3d8ed6c84da996,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800987912460.jpg,-5.0928707573194485
b993550e60054741983f8052ba97b0b0,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800988412460.jpg,-5.0928707573194485
61cfc5554a724824b0d34bddc147d890,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800988912460.jpg,-5.0928707573194485
dc4c80e8a1534ff8a3eb80307341161c,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800989412460.jpg,-5.0928707573194485
c36e8482feb041de9f081e76396cf4fe,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800989912460.jpg,-5.0928707573194485
c9e812f2705b4b198f4675dfaa33812d,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800990412460.jpg,-5.094616086571442
eff61ec3657c4d1c9327e3fe6ca639d3,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800990912460.jpg,-5.0928707573194485
0a3abc33048d46f9bd78151d1df4b004,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800991412460.jpg,-5.0928707573194485
2c77ee386aa0444aaf27140fe6cc8364,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800991912460.jpg,-5.0928707573194485
4e169e93acb346d59de1af7f2b4882e1,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800992412460.jpg,-5.0928707573194485
b902d29df24c4efda414a9a88ed57031,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800992862460.jpg,-5.094616086571442
3ff58ee0fc4748d9895300f02114aa56,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800993362460.jpg,-5.094616086571442
7147d8d1b51b428fb408f34799325111,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800993862460.jpg,-5.0928707573194485
050b2d9c4bb647b7ab4ee94bdb538e1d,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800994362460.jpg,-5.0928707573194485
2690c36281244c06b709e9f4eeb1317a,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800994862460.jpg,-5.0928707573194485
99f903d3f74a4f76a05a4f1e10e49329,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800995362460.jpg,-5.0928707573194485
25a4a6aa9096458285cba35c950f2717,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800995862460.jpg,-5.0928707573194485
c631b61375a642b6b110f5bd5543ef7a,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800996412460.jpg,-5.0928707573194485
614c6962e44240b1b0ebb3eb351fe0eb,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800996912460.jpg,-5.0928707573194485
ace4b20b94cf47d0b68addac79fe68de,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800997412460.jpg,-5.094616086571442
134ae8a8f5c340f9894a414fc0966af4,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800997912460.jpg,-5.1015974035794205
41550a1f0b0548e5823b14d95e807c7d,scene-1100,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800998362460.jpg,-5.126032013107343
